foot_contact_forces
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
9.569,8.643399392154485,-0.9244616105087603,-374.76503950952645,1.4367473719469381,-1.0266276873503912,-213.23763115153633,-10.687770080868415,4.917312130813843,-461.6373257288276,nan,nan,nan,-1.771162971821908,0.02052765016399314,-164.87705800373612,nan,nan,nan
9.57,8.643064303012654,-0.9341508433096095,-374.82759919548243,1.43174581777298,-1.028704568019283,-213.17609840912266,-10.694572044285188,4.916674326685248,-461.74540252355126,nan,nan,nan,-1.7692849048799937,0.019891705737240542,-164.77778565858986,nan,nan,nan
9.571,8.64269646166692,-0.9439684889927746,-374.89019616262783,1.427001932649302,-1.030836421644841,-213.11455571390863,-10.701388253667888,4.91605545275047,-461.8533273434566,nan,nan,nan,-1.767400330661056,0.019243553441140388,-164.6785392118288,nan,nan,nan
9.572000000000001,8.642295609438364,-0.9539141786417342,-374.95282872502634,1.4225174626225383,-1.033023024699763,-213.05300068931246,-10.708218743644085,4.915455513836373,-461.961099251212,nan,nan,nan,-1.765509295542159,0.018583318549642656,-164.5793179676952,nan,nan,nan
9.573,8.641861497244145,-0.963987514471912,-375.01549525045436,1.4182940225214653,-1.0352641410975922,-212.99143101721364,-10.715063550852381,4.914874497083138,-462.06871745362423,nan,nan,nan,-1.7636118447419198,0.017911123788716687,-164.48012128007613,nan,nan,nan
9.574,8.641393885582993,-0.9741880699541495,-375.078194155864,1.414333094168145,-1.0375595224212455,-212.9298444354673,-10.72192271381065,4.914312372115932,-462.1761812954785,nan,nan,nan,-1.7617080227414186,0.01722708934068685,-164.380948550751,nan,nan,nan
9.575000000000001,8.640892544358792,-0.9845153901163072,-375.1409239033827,1.410636025269255,-1.039908907941652,-212.86823873488132,-10.72879627243967,4.913769091584392,-462.2834902537778,nan,nan,nan,-1.7597978731254018,0.0165313329290229,-164.28179922731292,nan,nan,nan
9.576,8.640357252784785,-0.9949689919721438,-375.20368299697094,1.4072040279892892,-1.0423120245613118,-212.8066117571379,-10.735684268073282,4.913244590769987,-462.39064393201585,nan,nan,nan,-1.7578814389247126,0.015823969913935757,-164.182672801328,nan,nan,nan
9.577,8.63978779929662,-1.0055483643730085,-375.2664699788502,1.4040381777977178,-1.044768587300684,-212.744961392372,-10.742586743031891,4.9127387884869504,-462.49764205527384,nan,nan,nan,-1.7559587621719157,0.015105113337448973,-164.0835688065461,nan,nan,nan
9.578,8.639183981458078,-1.0162529688394075,-375.3292834267631,1.401139412798996,-1.0472782990246157,-212.68328557708335,-10.749503740500115,4.912251586935145,-462.604484465266,nan,nan,nan,-1.7540298842575293,0.014374873830458525,-163.98448681718855,nan,nan,nan
9.578125,8.638545605870538,-1.0270822393330217,-375.3921219510455,1.398508532645963,-1.0498408507025376,-212.62158229244372,-10.756435304233358,4.911782872287703,-462.7111711157381,nan,nan,nan,-1.7520948458604757,0.013633360045776496,-163.88542644628876,nan,nan,nan
9.579,8.638545605870538,-1.0270822393330217,-375.3921219510455,1.398508532645963,-1.0498408507025376,-212.62158229244372,-10.756435304233358,4.911782872287703,-462.7111711157381,nan,nan,nan,-1.7520948458604757,0.013633360045776496,-163.88542644628876,nan,nan,nan
9.58,8.637872488096514,-1.0380355830699417,-375.45498419224464,1.3961461981743652,-1.0524559215829508,-212.55984956234158,-10.763381478347318,4.9113325145607245,-462.8177020681004,nan,nan,nan,-1.7501536867275427,0.012880678345735978,-163.78638734417262,nan,nan,nan
9.581,8.637164452600839,-1.0491123804377467,-375.51786881870805,1.3940529306879108,-1.0551231792709659,-212.49808545184845,-10.770342307164606,4.910900368552105,-462.92407748740385,nan,nan,nan,-1.7482064460621964,0.012116933188818974,-163.68736919692503,nan,nan,nan
9.582,8.636421332626108,-1.0603119854515297,-375.5807745247138,1.3922291117267127,-1.0578422798678921,-212.43628806564274,-10.777317834959419,4.910486273486073,-463.03029763846223,nan,nan,nan,-1.7462531623427804,0.011342227003225834,-163.58837172474574,nan,nan,nan
9.583,8.635642970177104,-1.0716337261485276,-375.6437000285191,1.3906749827087301,-1.0606128680506937,-212.37445554679474,-10.784308105750945,4.910090054007313,-463.13636288209375,nan,nan,nan,-1.7442938733032924,0.010556660445486367,-163.4893946809087,nan,nan,nan
9.584,8.634829215921688,-1.0830769049137678,-375.70664407032103,1.3893906449168294,-1.0634345773047513,-212.31258607515426,-10.791313163142762,4.9097115200143,-463.2422736715279,nan,nan,nan,-1.7423286161384128,0.009760332281813668,-163.39043784990997,nan,nan,nan
9.585,8.633979929138983,-1.094640798683396,-375.7696054112103,1.3883760596026884,-1.066307029998222,-212.2506778665841,-10.798333050159433,4.909350467380736,-463.34803054911777,nan,nan,nan,-1.7403574272995974,0.008953339674710905,-163.2915010465481,nan,nan,nan
9.586,8.63309497762473,-1.1063246597075225,-375.8325828312825,1.3876310478998015,-1.0692298375902243,-212.1887291712253,-10.805367808981734,4.909006678226486,-463.4536341431548,nan,nan,nan,-1.738380342724565,0.008135778176247768,-163.19258411418122,nan,nan,nan
9.587,8.632174237659745,-1.1181277152504216,-375.8955751286735,1.3871552913115257,-1.07220260082125,-212.12673827302368,-10.812417480903468,4.908679921228177,-463.55908516455156,nan,nan,nan,-1.73639739781751,0.007307741848407113,-163.09368692368395,nan,nan,nan
9.588000000000001,8.631217593931158,-1.1300491687109504,-375.95858111810537,1.3869483320630767,-1.0752249096275208,-212.0647034884464,-10.819482105993616,4.90836995216863,-463.66438440408507,nan,nan,nan,-1.734408627317747,0.006469323400116397,-162.99480937225104,nan,nan,nan
9.589,8.630224939468507,-1.1420881994032404,-376.02159963000025,1.3870095735784032,-1.07829634364652,-212.0026231654509,-10.826561723145016,4.908076514296997,-463.7695327293799,nan,nan,nan,-1.7324140657163487,0.005620614252680047,-162.89595138198052,nan,nan,nan
9.59,8.629196175547472,-1.1542439633288029,-376.08462950951673,1.387338281173926,-1.0814164723100625,-211.94049568291103,-10.833656369696362,4.907799338839572,-463.87453108208916,nan,nan,nan,-1.7304137468778136,0.004761704599787781,-162.79711289862837,nan,nan,nan
9.591000000000001,8.628131211697763,-1.1665155934977394,-376.14766961554824,1.3879335828937087,-1.0845848547869767,-211.87831944944483,-10.840766081434682,4.907538145174408,-463.9793804752958,nan,nan,nan,-1.7284077042845778,0.0038926836271973753,-162.698293890527,nan,nan,nan
9.592,8.627029965557721,-1.1789022001458143,-376.21071882014957,1.3887944703041077,-1.0878010403406306,-211.81609290297033,-10.847890892386467,4.907292641892372,-464.08408199093407,nan,nan,nan,-1.726395971077792,0.00301363955265792,-162.599494347317,nan,nan,nan
9.593,8.625892362859425,-1.1914028714161038,-376.27377600768136,1.3899197996959127,-1.0910645687022182,-211.75381450968138,-10.85503083469886,4.907062526639564,-464.1886367770141,nan,nan,nan,-1.7243785801560638,0.002124659796450139,-162.5007142788629,nan,nan,nan
9.59375,8.62471833732394,-1.2040166737624012,-376.3368400742228,1.391308293199929,-1.0943749698114698,-211.6914827635005,-10.862185938450027,4.9068474868170435,-464.29304604523776,nan,nan,nan,-1.7223555639980483,0.001225831014816622,-162.40195371378903,nan,nan,nan
9.594,8.62471833732394,-1.2040166737624012,-376.3368400742228,1.391308293199929,-1.0943749698114698,-211.6914827635005,-10.862185938450027,4.9068474868170435,-464.29304604523776,nan,nan,nan,-1.7223555639980483,0.001225831014816622,-162.40195371378903,nan,nan,nan
9.595,8.623507830618788,-1.2167426520811715,-376.3999099272933,1.3929585398964086,-1.0977317644024902,-211.6290961854455,-10.869356231593635,4.906647200302774,-464.3973110688478,nan,nan,nan,-1.7203269550200693,0.00031723936337169843,-162.30321269871612,nan,nan,nan
